Repeticion,c,asm
1,78896514,34474400
2,60174289,34276576
3,46909178,34281008
4,41034804,34268296
5,40284304,34435768
6,40803868,34315256
7,40466480,34280460
8,40502760,34281548
9,41186072,37138912
10,40456436,34288880
11,40607176,34320776
12,40866616,34777800
13,40551356,34301816
14,40318064,34257520
15,40757268,34290800
16,40552312,34279096
17,40804604,34247112
18,42545208,34252596
19,41085464,35228300
20,40400776,34281152
21,40651584,34245624
22,40777060,34407256
23,40606736,34348396
24,40502124,34263164
25,40623424,34283652
26,40512904,34259784
27,40529768,34258652
28,40423712,34269412
29,40684420,34289856
30,40589368,34459460
31,40476384,34348724
32,40797288,34356632
33,40667420,34255296
34,40337240,34447048
35,41108456,34335700
36,40381808,34245068
37,40533108,34275224
38,42929104,34255428
39,40790040,34281348
40,40376628,34245608
41,40389492,34642784
42,40881136,34322576
43,40591120,34274356
44,42860956,34266992
45,41168916,34376028
46,40662164,34300360
47,40635340,34285816
48,40623480,34340592
49,40348224,34321684
50,40409588,34300340
51,40392816,35849668
52,40907396,34634388
53,40641192,34458908
54,41158804,34355040
55,40833680,34386128
56,40468748,34441540
57,40534648,34517340
58,42122648,34409028
59,40472780,34315428
60,40535116,34348080
61,40614672,34328716
62,40751932,34423556
63,40396676,34461816
64,41476140,34309720
65,40899860,34315212
66,40284100,34406776
67,40441720,34464880
68,41749268,34310520
69,40325928,34422088
70,40415492,34498232
71,40707112,36107396
72,40692008,34377116
73,40569400,34271188
74,40436212,34442196
75,40671068,34300716
76,40560076,34323260
77,40457632,34319056
78,42561880,34313240
79,40423200,34275496
80,40375456,34274592
81,40824020,34388648
82,40338516,37424596
83,40565904,34278868
84,40805072,34318364
85,40911416,34546884
86,40322140,34291236
87,40549644,34285924
88,40786964,35032536
89,40515552,34332300
90,40348988,34372180
91,40726208,34400644
92,40340624,34669816
93,40398440,34328004
94,40353440,34355140
95,41411132,34428820
96,40396044,34434768
97,42479460,34348112
98,40973304,34289568
99,40481900,34300736
100,40367052,34356400
